Estado (Jugador, Dealer, As usable) | Q[Quedarse] | Q[Pedir carta]
(26, 5, 0)                        |     0.0000 |        0.0000
(17, 3, 1)                        |     1.0436 |        8.8521
(23, 3, 0)                        |     0.0000 |        0.0000
(21, 1, 1)                        |    28.5000 |        9.7158
(21, 2, 0)                        |    35.9000 |       -0.9114
(27, 2, 0)                        |     0.0000 |        0.0000
(22, 7, 0)                        |     0.0000 |        0.0000
(14, 4, 0)                        |     6.8352 |       17.7161
(22, 5, 0)                        |     0.0000 |        0.0000
(6, 5, 0)                         |     1.4811 |       12.7101
(19, 6, 1)                        |    10.8314 |       27.6457
(25, 4, 0)                        |     0.0000 |        0.0000
(19, 7, 0)                        |    51.5000 |       20.9038
(11, 3, 0)                        |    14.0907 |       23.7969
(9, 8, 0)                         |    10.4320 |       24.2500
(28, 3, 0)                        |     0.0000 |        0.0000
(22, 6, 0)                        |     0.0000 |        0.0000
(20, 9, 1)                        |    15.3968 |       37.9859
(14, 9, 1)                        |     0.6162 |       15.5418
(22, 8, 0)                        |     0.0000 |        0.0000
(6, 7, 0)                         |     7.0347 |       15.1580
(9, 4, 0)                         |    11.3285 |       22.1575
(13, 5, 1)                        |    -0.1839 |       16.7457
(5, 3, 0)                         |     1.7752 |       12.7688
(14, 8, 1)                        |     1.8791 |       22.7057
(7, 4, 0)                         |     2.2253 |       16.2033
(13, 8, 1)                        |     2.9439 |       18.6227
(23, 4, 0)                        |     0.0000 |        0.0000
(14, 4, 1)                        |     2.1024 |       16.8673
(26, 4, 0)                        |     0.0000 |        0.0000
(23, 9, 0)                        |     0.0000 |        0.0000
(9, 2, 0)                         |     6.7430 |       17.0288
(19, 1, 1)                        |     1.7683 |        4.3015
(15, 3, 1)                        |     1.9236 |       12.5530
(22, 2, 0)                        |     0.0000 |        0.0000
(27, 8, 0)                        |     0.0000 |        0.0000
(30, 10, 0)                       |     0.0000 |        0.0000
(9, 9, 0)                         |    10.7769 |       17.0995
(21, 8, 1)                        |    38.9000 |       24.0418
(19, 9, 1)                        |     7.6002 |       22.3734
(5, 1, 0)                         |     0.7524 |        7.7102
(21, 9, 0)                        |    47.6000 |       -0.8906
(13, 2, 1)                        |     0.5092 |       11.7982
(24, 2, 0)                        |     0.0000 |        0.0000
(15, 1, 1)                        |     1.7477 |        8.9432
(20, 4, 1)                        |     8.7095 |       44.6719
(24, 9, 0)                        |     0.0000 |        0.0000
(4, 5, 0)                         |     2.6438 |       14.0125
(29, 7, 0)                        |     0.0000 |        0.0000
(26, 9, 0)                        |     0.0000 |        0.0000
(8, 2, 0)                         |     2.1440 |        9.1445
(17, 5, 1)                        |     3.1427 |       10.9669
(6, 2, 0)                         |     2.0255 |       11.9853
(13, 9, 1)                        |     2.2780 |       12.4792
(26, 6, 0)                        |     0.0000 |        0.0000
(16, 4, 1)                        |     3.8577 |       16.0441
(13, 4, 1)                        |     1.7402 |       17.5524
(23, 6, 0)                        |     0.0000 |        0.0000
(29, 1, 0)                        |     0.0000 |        0.0000
(12, 7, 1)                        |     0.9470 |       13.2907
(20, 5, 1)                        |    12.3875 |       43.5310
(27, 9, 0)                        |     0.0000 |        0.0000
(26, 1, 0)                        |     0.0000 |        0.0000
(23, 8, 0)                        |     0.0000 |        0.0000
(28, 9, 0)                        |     0.0000 |        0.0000
(27, 1, 0)                        |     0.0000 |        0.0000
(18, 2, 1)                        |     2.3751 |       11.9990
(20, 1, 1)                        |     5.2441 |       11.0499
(24, 4, 0)                        |     0.0000 |        0.0000
(20, 7, 1)                        |    10.3000 |        7.2779
(17, 9, 1)                        |     5.5968 |       14.3377
(14, 1, 1)                        |     0.7207 |        8.9428
(30, 2, 0)                        |     0.0000 |        0.0000
(20, 3, 1)                        |     9.5000 |        2.8630
(12, 6, 1)                        |     0.0588 |       22.6580
(19, 2, 1)                        |     6.2000 |        2.7561
(15, 7, 1)                        |     2.5211 |       15.1198
(19, 3, 1)                        |     5.8351 |       16.1078
(16, 1, 1)                        |     2.0398 |        8.8397
(12, 4, 1)                        |     0.2728 |       13.7454
(18, 7, 1)                        |     6.2246 |       20.6204
(7, 3, 0)                         |     4.2436 |       13.4693
(25, 3, 0)                        |     0.0000 |        0.0000
(18, 1, 1)                        |     1.1310 |        8.7781
(17, 4, 1)                        |     4.4461 |       15.0626
(20, 8, 1)                        |    18.2648 |       44.6153
(16, 7, 1)                        |     4.5664 |       14.5417
(27, 7, 0)                        |     0.0000 |        0.0000
(15, 2, 1)                        |     3.2296 |       11.0596
(18, 4, 1)                        |     5.2919 |       15.7127
(13, 6, 1)                        |     1.6996 |       20.1111
(20, 6, 1)                        |    12.3512 |       40.7474
(28, 5, 0)                        |     0.0000 |        0.0000
(31, 10, 0)                       |     0.0000 |        0.0000
(26, 2, 0)                        |     0.0000 |        0.0000
(15, 5, 1)                        |     2.6619 |       16.3919
(5, 8, 0)                         |     4.7137 |       17.6034
(30, 3, 0)                        |     0.0000 |        0.0000
(15, 4, 1)                        |     2.0667 |       14.6428
(15, 9, 1)                        |     2.9809 |       18.2344
(27, 4, 0)                        |     0.0000 |        0.0000
(13, 1, 1)                        |     0.8341 |        9.5237
(5, 6, 0)                         |     2.6475 |       17.0509
(16, 9, 1)                        |     3.4074 |       12.6347
(19, 8, 1)                        |     9.3000 |        7.2134
(28, 6, 0)                        |     0.0000 |        0.0000
(4, 1, 0)                         |     0.9115 |        5.3399
(6, 9, 0)                         |     2.4315 |       11.0994
(5, 4, 0)                         |     1.1391 |       11.9076
(4, 3, 0)                         |     1.6734 |       12.6840
(16, 3, 1)                        |     1.0576 |       14.0194
(15, 8, 1)                        |     4.0672 |       14.6851
(20, 2, 1)                        |     8.5158 |       32.5565
(31, 2, 0)                        |     0.0000 |        0.0000
(27, 6, 0)                        |     0.0000 |        0.0000
(12, 1, 1)                        |     0.9354 |        7.9328
(16, 5, 1)                        |     4.3714 |       16.9166
(4, 4, 0)                         |     0.2000 |       13.0611
(4, 6, 0)                         |     0.1535 |       16.4529
(28, 8, 0)                        |     0.0000 |        0.0000
(5, 5, 0)                         |     2.6344 |       14.6900
(12, 9, 1)                        |     2.4425 |       13.0567
(28, 7, 0)                        |     0.0000 |        0.0000
(29, 9, 0)                        |     0.0000 |        0.0000
(12, 5, 1)                        |     1.2384 |       19.2338
(12, 3, 1)                        |    -0.1000 |       11.4226
(31, 3, 0)                        |     0.0000 |        0.0000
(30, 4, 0)                        |     0.0000 |        0.0000
(30, 9, 0)                        |     0.0000 |        0.0000
(29, 6, 0)                        |     0.0000 |        0.0000
(31, 5, 0)                        |     0.0000 |        0.0000
(4, 7, 0)                         |    -0.1000 |       16.9701
(31, 7, 0)                        |     0.0000 |        0.0000
(30, 6, 0)                        |     0.0000 |        0.0000
(30, 7, 0)                        |     0.0000 |        0.0000
(29, 2, 0)                        |     0.0000 |        0.0000
(30, 5, 0)                        |     0.0000 |        0.0000
(31, 8, 0)                        |     0.0000 |        0.0000
(31, 4, 0)                        |     0.0000 |        0.0000
(29, 4, 0)                        |     0.0000 |        0.0000
(31, 9, 0)                        |     0.0000 |        0.0000
(31, 6, 0)                        |     0.0000 |        0.0000
